Catalog / Data Sheet,Part No.,Status,Brand,Core Shape,Size (IEC62317) A x B x C,Dimm. A,Dimm. B,Dimm. C,Feature,Ferrite Material,Material Name,AL Value / (nH / N²),Core Loss / (W / set),Air Gap / mm,Initial Permeability μi,Saturation Magnetic Flux Density Bs / mT,Relative Loss Factor (Max.) (tanδ / μi) 10⁻⁶,Curie Temperature Tc(Min.) / °C,material_name,core_shape,A_L_clean,A_L_H_per_turn2,B_s_clean,B_s_T,gap_clean,gap_m,mu_i,Sigma_l_over_A_mm_inv,le_m,Ae_m2,Ve_m3
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-core/data_sheet/80/db/fer/e_20_10_11.pdf,B66310G0000X127 (N27),Production,EPCOS,E(EE),E 20/10/11,20.4,10.1,11.0,For general purpose,Mn-Zn,N27,"2300 +30,-20%","0.52 (200mT, 25kHz, 100°C)",0.0,2000,410 (100°C),,220,N27,E(EE),2300,2.3e-06,410,0.41000000000000003,0.0,0.0,2000,,0.0463,6.1e-05,2.83e-06
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_20_10_6.pdf,B66311G0000X127 (N27),Production,EPCOS,E(EE),E 20/10/6,20.4,10.1,5.9,For general purpose,Mn-Zn,N27,"1300 +30,-20%","0.27 (200mT, 25kHz, 100°C)",0.0,2000,410 (100°C),,220,N27,E(EE),1300,1.3e-06,410,0.41000000000000003,0.0,0.0,2000,,0.0463,3.21e-05,1.4900000000000001e-06
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_20_10_6.pdf,B66311G0090X127 (N27),Production,EPCOS,E(EE),E 20/10/6,20.4,10.1,5.9,For general purpose,Mn-Zn,N27,363 Nom.,,0.09,2000,410 (100°C),,220,N27,E(EE),363,3.63e-07,410,0.41000000000000003,0.09,8.999999999999999e-05,2000,,0.0463,3.21e-05,1.4900000000000001e-06
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_20_10_6.pdf,B66311G0100X127 (N27),Production,EPCOS,E(EE),E 20/10/6,20.4,10.1,5.9,For general purpose,Mn-Zn,N27,345 Nom.,,0.1,2000,410 (100°C),,220,N27,E(EE),345,3.4500000000000003e-07,410,0.41000000000000003,0.1,0.0001,2000,,0.0463,3.21e-05,1.4900000000000001e-06
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_20_10_6.pdf,B66311G0150X127 (N27),Production,EPCOS,E(EE),E 20/10/6,20.4,10.1,5.9,For general purpose,Mn-Zn,N27,250 Nom.,,0.15,2000,410 (100°C),,220,N27,E(EE),250,2.5000000000000004e-07,410,0.41000000000000003,0.15,0.00015,2000,,0.0463,3.21e-05,1.4900000000000001e-06
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_20_10_6.pdf,B66311G0170X127 (N27),Production,EPCOS,E(EE),E 20/10/6,20.4,10.1,5.9,For general purpose,Mn-Zn,N27,227 Nom.,,0.17,2000,410 (100°C),,220,N27,E(EE),227,2.27e-07,410,0.41000000000000003,0.17,0.00017,2000,,0.0463,3.21e-05,1.4900000000000001e-06
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_20_10_6.pdf,B66311G0250X127 (N27),Production,EPCOS,E(EE),E 20/10/6,20.4,10.1,5.9,For general purpose,Mn-Zn,N27,171 Nom.,,0.25,2000,410 (100°C),,220,N27,E(EE),171,1.71e-07,410,0.41000000000000003,0.25,0.00025,2000,,0.0463,3.21e-05,1.4900000000000001e-06
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_20_10_6.pdf,B66311G0500X127 (N27),Production,EPCOS,E(EE),E 20/10/6,20.4,10.1,5.9,For general purpose,Mn-Zn,N27,103 Nom.,,0.5,2000,410 (100°C),,220,N27,E(EE),103,1.0300000000000001e-07,410,0.41000000000000003,0.5,0.0005,2000,,0.0463,3.21e-05,1.4900000000000001e-06
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_20_10_6.pdf,B66311G1000X127 (N27),Production,EPCOS,E(EE),E 20/10/6,20.4,10.1,5.9,For general purpose,Mn-Zn,N27,60 Nom.,,1.0,2000,410 (100°C),,220,N27,E(EE),60,6.000000000000001e-08,410,0.41000000000000003,1.0,0.001,2000,,0.0463,3.21e-05,1.4900000000000001e-06
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-core/data_sheet/80/db/fer/e_20_9_6.pdf,B66312G0000X127 (N27),Production,EPCOS,E(EE),E 20/9/6,20.4,9.35,5.9,For general purpose,Mn-Zn,N27,"1300 +30,-20%","0.25 (200mT, 25kHz, 100°C)",0.0,2000,410 (100°C),,220,N27,E(EE),1300,1.3e-06,410,0.41000000000000003,0.0,0.0,2000,,0.0429,3.21e-05,1.3800000000000001e-06
